TTIcode	HotelName	ChainID	ChainName	a_chain_code	a_chain_name	a_master_chain_code	a_master_chain_name	CityCode	CityName	localeID	LocaleName	LocaleAbbreviation	CountryCode	CountryName	IATA_code	IATA_lookup_level	FullAddress	StreetNumber	AddressLine	PostalCode	AddressCityName	Phone	Latitude	Longitude	LastLoadDate
60745495	City Home	NULL	NULL	NULL	NULL	NULL	NULL	27689	Hefei	1168	East China	NULL	CN	China	HFE	C	NULL	10	Shitang Road	NULL	Hefei	NULL	31.882632330	117.480129000	2026-01-29 15:15:00
60745520	Ashiyana Residency by Fabhotel	2609	FabHotels	NULL	NULL	NULL	NULL	20804	Lucknow	909	Uttar Pradesh	NULL	IN	India	LKO	C	NULL	1/237	NULL	226006	Lucknow	NULL	26.845100000	80.956100000	2026-06-22 14:58:00
60745531	Sherwood Bay Resort & Aqua Sports Inc.	NULL	NULL	NULL	NULL	NULL	NULL	1736	Bohol	316	Philippines	NULL	PH	Philippines	TAG	C	NULL	NULL	Riverside	6339	Bohol	+639173050426	9.639646780	123.831263250	2026-07-20 14:47:00
60745553	Changzhou VIP 168 Business Hotel	NULL	NULL	NULL	NULL	NULL	NULL	22008	Changzhou	1168	East China	NULL	CN	China	CZX	C	NULL	115	South Longhutang Street	213031	Changzhou	NULL	31.843241250	119.985403020	2026-01-29 15:15:00
60745622	Backpackers Coffe & Suites	NULL	NULL	NULL	NULL	NULL	NULL	7925	Cordoba	1173	Central Argentina (Cordoba, Entre Rios, Santa Fe)	NULL	AR	Argentina	COR	C	NULL	229	Independencia	X5000IUE	Cordoba	NULL	-31.418562610	-64.185258260	2026-06-22 14:58:00
60746160	Mogli Camps	NULL	NULL	NULL	NULL	NULL	NULL	17054	Rishikesh	976	Uttarakhand	NULL	IN	India	DED	C	NULL	NULL	Village Badal Road	249192	Rishikesh	NULL	30.116400000	78.306500000	2026-01-29 15:15:00
60746262	256 Watersong House 5 Bedroom by Florida Star	NULL	NULL	NULL	NULL	NULL	NULL	16605	Davenport	340	Florida	FL	US	USA	DVN	C	NULL	256	Yellow Snap Dragon Drive	33897	Davenport	NULL	28.276100000	-81.649700000	2018-05-08 19:40:00
60746317	J & B Hotel	NULL	NULL	NULL	NULL	NULL	NULL	29831	Saranda	918	Albania	NULL	AL	Albania	XSA	C	NULL	1	Rruga Skenderbeu	9700	Saranda	NULL	39.869316350	20.019276400	2026-01-28 17:29:00
60746342	Il Bagatto	NULL	NULL	NULL	NULL	NULL	NULL	4416	Bologna	433	Emilia-Romagna	NULL	IT	Italy	BLQ	C	NULL	97	Via Del Pratello	40122	Bologna	NULL	44.495497780	11.329498050	2026-01-29 15:15:00
60746480	Hotel Avenida Araucaria	NULL	NULL	NULL	NULL	NULL	NULL	9799	Valparaiso	1543	Valparaiso & Umgebung	NULL	CL	Chile	VAP	C	NULL	263	Levarte	2360572	Valparaiso	+56974323297	-33.044400000	-71.624200000	2026-01-29 15:15:00
60746491	Haus Dorfschmiede	NULL	NULL	NULL	NULL	NULL	NULL	43933	Freiamt	1260	The Black Forest	NULL	DE	Germany	STR	C	NULL	13	Brettental	79348	Freiamt	+497645457	48.189790000	7.940780000	2026-01-29 15:15:00
60746615	Bristol Zhiguly	NULL	NULL	NULL	NULL	NULL	NULL	11324	Samara	1189	Volga	NULL	RU	Russian Federation	KUF	C	NULL	111	Kuibyshev Street	443099	Samara	+78463316555	53.189385552	50.090491283	2026-01-29 10:31:00
60746640	Angel Paradise Villas	NULL	NULL	NULL	NULL	NULL	NULL	494	Belle Mare	594	east coast	NULL	MU	Mauritius	MRU	C	NULL	NULL	Coastal Road	NULL	Belle Mare	NULL	-20.192900000	57.778700000	2026-01-29 15:15:00
60746717	Tirana International	NULL	NULL	NULL	NULL	NULL	NULL	23936	Tirana	918	Albania	NULL	AL	Albania	TIA	C	NULL	NULL	Scanderbeg Sqare	NULL	Tirana	+35542234185	41.329663096	19.818591983	2026-01-29 10:31:00
60746797	Riad Bel Haj	NULL	NULL	NULL	NULL	NULL	NULL	488	Marrakech	1519	Atlas	NULL	MA	Morocco	RAK	C	NULL	60	Derb Moulay Abdellah Ben Hssaine	NULL	Marrakech	+212524377737	31.621776551	-7.984700203	2026-01-29 15:15:00
60746811	African Queen	NULL	NULL	NULL	NULL	NULL	NULL	70537	Mapledurham	1466	South East England	NULL	GB	United Kingdom	GLA	C	NULL	NULL	NULL	RG4 7TR	Mapledurham Estate	+447774917389	51.485920225	-1.035326435	2026-01-29 15:15:00
60746880	La Quinta Inn & Suites by Wyndham Bellingham	1277	La Quinta by Wyndham	LQ	La Quinta by Wyndham	WR	WYNDHAM HOTELS & RESORTS	20354	Bellingham	374	Washington	WA	US	USA	BLI	C	NULL	1063	West Bakerview Road	98226	Bellingham	+13607387088	48.789043000	-122.509683000	2026-01-28 17:29:00
60748662	Deekswood	NULL	NULL	NULL	NULL	NULL	NULL	12406	Preston	1471	North West England	NULL	GB	United Kingdom	XPT	C	NULL	NULL	Duck Street	PR3 6HN	Preston	NULL	53.934111230	-2.924922500	2026-07-20 14:47:00
60748673	Apartamentos Marina d'Or Beach	NULL	NULL	NULL	NULL	NULL	NULL	42729	Oropesa del Mar	733	Costa del Azahar	NULL	ES	Spain	VLC	C	NULL	NULL	Paseo Maritimo del Mediterráneo	NULL	Oropesa del Mar	+34964727270	40.105866090	0.151302939	2026-01-29 15:15:00
60748797	Landhaus Meuro	NULL	NULL	NULL	NULL	NULL	NULL	99997	Meuro	619	Brandenburg	NULL	DE	Germany	HAM	C	NULL	NULL	NULL	NULL	Meuro	+49357546430	51.552985000	13.930114000	2026-01-29 15:15:00
60748877	Pe Rola Views Inn By Madeira Sun Travel	NULL	NULL	NULL	NULL	NULL	NULL	1720	Porto Moniz	112	Madeira	NULL	PT	Portugal	FNC	C	NULL	2, 2A	Do Ilhéu Mole	9270-150	Porto Moniz	NULL	32.867232430	-17.167110200	2026-01-29 15:15:00
60748880	Huus in Lee	NULL	NULL	NULL	NULL	NULL	NULL	4007	Wyk	1253	North Sea Islands	NULL	DE	Germany	HAM	C	NULL	NULL	NULL	NULL	Wyk	NULL	54.689000000	8.565850000	2026-01-29 15:15:00
60748935	Yumotokan	NULL	NULL	NULL	NULL	NULL	NULL	39879	Minakami	1698	Kanto, Honshu	NULL	JP	Japan	NRT	C	NULL	2381	NULL	379-1409	Minakami-machi	+81278640011	36.700511910	138.913011850	2026-01-29 15:15:00
60748960	Petit Resort Appear	NULL	NULL	NULL	NULL	NULL	NULL	74869	Kiso-machi	1696	Chubu, Honshu	NULL	JP	Japan	NRT	C	NULL	8064-2	NULL	397-0302	Kiso-Gun	+81264442224	35.954796110	137.555516540	2026-01-28 17:29:00
60749197	Oasis Hotel Motel	NULL	NULL	NULL	NULL	NULL	NULL	32107	Cloncurry	597	Queensland	NULL	AU	Australia	CNJ	C	NULL	17	Ramsay Street	4824	Cloncurry	+61747421366	-20.707200000	140.522000000	2026-01-29 15:15:00
60749211	Aydogar Otel	NULL	NULL	NULL	NULL	NULL	NULL	928	Alanya	149	Turkish Riviera	NULL	TR	Tuerkiye	AYT	C	NULL	14	Navalioglu Sokak	NULL	Alanya	+902425110656	36.545061557	32.006509857	2026-01-29 15:15:00
60749233	Tsentralnaya Usadba	NULL	NULL	NULL	NULL	NULL	NULL	11342	Odessa	585	Ukraine	NULL	UA	Ukraine	ODS	C	NULL	24	Veteranov Street	67562	Odessa	+380639599937	46.560108860	30.793005780	2026-01-29 15:15:00
60749266	Thea Sunrise Luxury Villa	NULL	NULL	NULL	NULL	NULL	NULL	273	Kalithea	59	Rhodes	NULL	GR	Greece	RHO	L	NULL	215	Leoforos Kallitheas	85100	Kallithea	NULL	36.390898180	28.231775500	2026-01-29 15:15:00
60749360	Tosei Hotel Cocone Kanda	NULL	NULL	NULL	NULL	NULL	NULL	1739	Tokyo	1283	Tokyo & surrounding area	NULL	JP	Japan	TYO	L	NULL	3-2-10	NULL	101-0047	Tokyo	NULL	35.689433080	139.769007570	2026-01-29 15:15:00
60749473	Hotel Abhiraj Palace	NULL	NULL	NULL	NULL	NULL	NULL	8896	Jaipur	853	Rajasthan	NULL	IN	India	JAI	C	NULL	B-49	NULL	302001	Jaipur	NULL	26.916030384	75.791284717	2026-01-29 15:15:00
60750306	Aashian Home Stay	NULL	NULL	NULL	NULL	NULL	NULL	27034	Palampur	982	Himachal Pradesh	NULL	IN	India	DHM	C	NULL	NULL	NULL	176061	Palampur	NULL	32.115000000	76.533800000	2026-01-29 15:15:00
60750353	Hotel Mercure La Baule Majestic	1017	Mercure Hotels	RT	ACCOR HOTELS	RT	ACCOR HOTELS	1387	La Baule	1194	Pays de la Loire	NULL	FR	France	LBY	C	NULL	2	Avenue de la Noue	44500	La Baule	+33240602486	47.280536701	-2.408252484	2026-01-29 15:15:00
60750386	Yamazato Onsen Ryokan	NULL	NULL	NULL	NULL	NULL	NULL	91566	Susaki	1352	Shikoku	NULL	JP	Japan	CTS	C	NULL	1336	NULL	785-0027	Susaki-Shi	NULL	33.396354870	133.208262350	2026-01-29 15:15:00
60750535	Baan On Court	NULL	NULL	NULL	NULL	NULL	NULL	1343	Chiang Mai	140	Northern Thailand	NULL	TH	Thailand	CNX	C	NULL	NULL	Chiang Mai	NULL	NULL	NULL	18.707120323	98.981455426	2026-01-29 15:15:00
60750742	Naqash Residency	NULL	NULL	NULL	NULL	NULL	NULL	26816	Srinagar	966	Jammu & Kashmir	NULL	IN	India	SXR	C	NULL	NULL	Mirak Shah Road Shalimar	NULL	Srinagar	NULL	34.145480400	74.873011030	2026-01-29 15:15:00
60750891	Hi Inn Shanghai Zhangjiang Zone	NULL	NULL	NULL	NULL	NULL	NULL	7430	Shanghai	1169	east coast	NULL	CN	China	SHA	C	NULL	914	Shengxia Road	NULL	Shanghai	NULL	31.200109370	121.631177280	2026-01-29 15:15:00
60750902	Fes Marriott Hotel Jnan Palace	2084	Marriott Hotels	MC	MARRIOTT HTLS RSTS	EM	MARRIOTT INTERNATIONAL	7364	Fes	1285	inland	NULL	MA	Morocco	FEZ	C	NULL	8	Avenue Ahmed Chaouki	30000	Fes	+212535947250	34.032794600	-5.003946300	2026-01-29 15:15:00
60750960	Palazzo del Re	NULL	NULL	NULL	NULL	NULL	NULL	940	Budapest	1271	Budapest & surrounding area	NULL	HU	Hungary	BUD	L	NULL	2	Ferenciek tere	1053	Budapest	NULL	47.492864780	19.055655410	2026-01-29 15:15:00
60751004	Mori Hotel	NULL	NULL	NULL	NULL	NULL	NULL	113349	Anping, Xianghe	1168	East China	NULL	CN	China	INC	C	NULL	98	Anbei Road	NULL	Anping	+8662249666	23.001927600	120.165414090	2026-01-29 10:31:00
60751037	Lanna Inn Hotel	NULL	NULL	NULL	NULL	NULL	NULL	1834	Hat Yai	141	South Thailand	NULL	TH	Thailand	HDY	C	NULL	16	Soi Suntorn Lae Phuen	90110	Hat Yai	NULL	6.998966560	100.465056610	2026-01-29 15:15:00
60751073	Dumela Tented Camp	NULL	NULL	NULL	NULL	NULL	NULL	14030	Hoedspruit	644	National Park	NULL	ZA	South Africa	HDS	C	NULL	NULL	Guernsey Road	1380	Hoedspruit	NULL	-24.365300000	30.964400000	2026-01-29 15:15:00
60751131	The Rooms Jb by OYO Rooms	2762	OYO (Parent)	OY	OYO HOTELS AND HOMES	NULL	NULL	10478	Johor Bahru	661	Johor	NULL	MY	Malaysia	JHB	C	NULL	NULL	NULL	81300	Johor Bahru	NULL	1.543771540	103.630390050	2026-01-29 15:15:00
60751200	Hayward Inn	NULL	NULL	NULL	NULL	NULL	NULL	8087	Eugene	375	Oregon	OR	US	USA	EUG	C	NULL	1759	Franklin Boulevard	97403	Eugene	+15414852727	44.046272477	-123.067032530	2026-01-29 15:15:00
60751244	Villa L'alizee	NULL	NULL	NULL	NULL	NULL	NULL	11684	Pinarello	505	Corsica	NULL	FR	France	TLS	C	NULL	NULL	Route De Caramontino	20144	Pinarellu	NULL	41.687000000	9.376320000	2026-01-29 15:15:00
60751266	Hotel Anagennisis	NULL	NULL	NULL	NULL	NULL	NULL	67582	Fry	1435	Kasos	NULL	GR	Greece	KZS	C	NULL	NULL	Fry; 85800 Fry	NULL	NULL	+302245041495	35.417027220	26.923609060	2026-01-29 10:31:00
60752364	Casa Disma Urbino	NULL	NULL	NULL	NULL	NULL	NULL	11764	Urbino	76	Marche	NULL	IT	Italy	RMI	C	NULL	37	Via Bocca Trabaria Sud	61029	Urbino	NULL	43.717005220	12.642079000	2026-01-29 15:15:00
60752433	Ferienwohnungen Sommerbichl Gleixner	NULL	NULL	NULL	NULL	NULL	NULL	4870	Berchtesgaden	615	Bavaria	NULL	DE	Germany	ZCE	C	NULL	NULL	NULL	NULL	Berchtesgaden	NULL	47.636500000	13.012700000	2026-01-29 15:15:00
60752491	Boryeong Beach Castle Pension	NULL	NULL	NULL	NULL	NULL	NULL	69606	Boryeong	1409	South Chungcheong Province (Chungcheongnam-do)	NULL	KR	Korea, Republic of	KPO	C	NULL	142	Meodeu-ro	NULL	Boryeong	NULL	36.305400000	126.525000000	2026-01-29 15:15:00
60752524	Nirvana Guesthouse	NULL	NULL	NULL	NULL	NULL	NULL	7634	Lijiang	1179	South China	NULL	CN	China	LJG	C	NULL	NULL	NULL	NULL	Lijiang	NULL	26.872863970	100.240146010	2026-01-29 15:15:00
60752673	Phu Tuong Hotel	NULL	NULL	NULL	NULL	NULL	NULL	14393	Dalat	323	Vietnam	NULL	VN	Viet Nam	DLI	C	NULL	45B	Duong Dinh Tien Hoang	NULL	Da Lat	NULL	11.953821360	108.442279300	2026-01-29 15:15:00
60752684	Ktima Tzouliadaki	NULL	NULL	NULL	NULL	NULL	NULL	209	Heraklion	46	Crete	NULL	GR	Greece	HER	C	NULL	202	Agiou Antoniou Kai Nikolaou	715 00	Heraklion	NULL	35.323000000	25.144600000	2026-01-29 15:15:00
60752717	Maison de Vacances Aux Trois Tilleuls	NULL	NULL	NULL	NULL	NULL	NULL	63600	Mervelier	994	Jura Mountains	NULL	CH	Switzerland	ZRH	C	NULL	NULL	Mervelier; Jura	NULL	NULL	NULL	47.339692383	7.507397442	2026-01-29 15:15:00
60752764	Villa del Amanecer	NULL	NULL	NULL	NULL	NULL	NULL	1421	San Jose del Cabo	1027	Baja California	NULL	MX	Mexico	SJD	C	NULL	NULL	NULL	NULL	San Jose del Cabo	NULL	23.072000000	-109.631100000	2026-01-29 15:15:00
60752800	Tummel Valley Holiday Park	NULL	NULL	NULL	NULL	NULL	NULL	315	Pitlochry	800	Scotland	NULL	GB	United Kingdom	EDI	C	NULL	NULL	NULL	PH16 5SA	Pitlochry	NULL	56.704361000	-3.729711000	2026-01-29 15:15:00
60752844	Casa di Montagna	NULL	NULL	NULL	NULL	NULL	NULL	9739	Truckee	404	California	CA	US	USA	TKF	C	NULL	12281	Snowpeak	96161	Truckee	NULL	39.324900000	-120.197000000	2026-01-29 15:15:00
60752855	The Little Mermaid	NULL	NULL	NULL	NULL	NULL	NULL	9202	Swansea	801	Wales	NULL	GB	United Kingdom	SWS	C	NULL	NULL	NULL	SA1 8RF	Swansea	NULL	51.626000000	-3.994370000	2026-01-29 15:15:00
60752877	Negombo Beach By Flipflop Hostels	NULL	NULL	NULL	NULL	NULL	NULL	857	Negombo	136	Sri Lanka	NULL	LK	Sri Lanka	CMB	C	NULL	22/2	A. K. Schnakenberg	11500	Negombo	NULL	7.240755670	79.844059670	2026-01-29 15:15:00
60752913	Holiday Inn Express London - Swiss Cottage	1177	Holiday Inn Express	HI	HOLIDAY INN	6C	INTERCONTINENTAL HOTELS GROUP (IHG)	302	London	1267	London & surrounding area	NULL	GB	United Kingdom	LON	L	NULL	152-156	Finchley Road	NW3 5HS	London	+442074336666	51.548524000	-0.180755000	2026-01-29 15:15:00
60752924	Hotel Roopam by OYO Rooms	2762	OYO (Parent)	OY	OYO HOTELS AND HOMES	NULL	NULL	76609	Palia Kalan	909	Uttar Pradesh	NULL	IN	India	LKO	C	NULL	NULL	State Highway 25	262902	Palia Kalan	NULL	28.427461850	80.578219060	2026-01-29 15:15:00
60753986	Eva	NULL	NULL	NULL	NULL	NULL	NULL	2146	Ireon	60	Samos	NULL	GR	Greece	SMI	C	NULL	NULL	Ireon; Samos Island	NULL	NULL	NULL	37.664374000	26.882147000	2026-01-29 15:15:00
60753997	Beachfront Dunes 3 s Gulf Front 3 Br home by RedAwning	NULL	NULL	NULL	NULL	NULL	NULL	11522	Fort Myers Beach	340	Florida	FL	US	USA	RSW	C	NULL	3280	Estero Blvd	33931	Fort Myers Beach	NULL	26.443851680	-81.933742820	2021-10-11 17:32:00
60754077	Refugio do Pico	NULL	NULL	NULL	NULL	NULL	NULL	61344	Prainha	110	Azores	NULL	PT	Portugal	HFA	C	NULL	50 B	Ladeira dos Castanheiros	9940-040	Prainha	+351292655050	38.474324000	-28.203667000	2026-01-29 15:15:00
60754135	Norus Apartments Providencia	NULL	NULL	NULL	NULL	NULL	NULL	72030	Providencia	1549	Santiago de Chile & Umgebung	NULL	CL	Chile	SCL	L	NULL	240	Capellan Abarzua	7580645	Providencia	+56229064357	-33.430465023	-70.631147544	2026-01-28 17:29:00
60754226	Casa Milolaza	NULL	NULL	NULL	NULL	NULL	NULL	2289	Mlini	1326	Adriatic Coast	NULL	HR	Croatia	DBV	C	NULL	12	Trgoviste	20207	Mlini	+38520486887	42.624567810	18.204573150	2026-01-29 15:15:00
60754240	Halltorps Gastgiveri	NULL	NULL	NULL	NULL	NULL	NULL	28902	Borgholm	772	Oland Island	NULL	SE	Sweden	KLR	C	NULL	105	Landsvägen Halltorp	38792	Borgholm	+4648585000	56.800743197	16.588904858	2026-01-29 15:15:00
60754251	Haros Apart Hotel	NULL	NULL	NULL	NULL	NULL	NULL	71200	Aaykara	559	Black Sea coast	NULL	TR	Tuerkiye	TZX	C	NULL	NULL	NULL	61100	Caykara	NULL	40.595861240	40.320973570	2026-01-28 17:29:00
60754273	Sheyang Huaju Hotel Yancheng	NULL	NULL	NULL	NULL	NULL	NULL	106477	Sheyang County, Yancheng	1168	East China	NULL	CN	China	SZX	C	NULL	12	Renmin Road	224300	Sheyang	+8651587095888	33.771216645	120.270863268	2026-01-29 15:15:00
60754331	Sofia House Helsinki	NULL	NULL	NULL	NULL	NULL	NULL	3935	Helsinki	1262	Helsinki & surrounding area	NULL	FI	Finland	HEL	C	NULL	3	Kuvernöörintie	00840	Helsinki	NULL	60.177000000	24.945300000	2026-06-04 15:33:00
60754466	Ecoturismo Los Manzanos	NULL	NULL	NULL	NULL	NULL	NULL	88773	Dalcahue	1544	Los Lagos Region	NULL	CL	Chile	ZOS	C	NULL	NULL	Ruta 5	5730000	Dalcahue	+5692378022	-42.269933210	-73.694187380	2026-08-24 17:20:00
60754546	Mountain Town Properties Olaus House	NULL	NULL	NULL	NULL	NULL	NULL	25449	Rossland	519	British Columbia	BC	CA	Canada	YCG	C	NULL	1002	Olaus Way	V0G 1Y0	Rossland	NULL	49.105120720	-117.820458450	2026-01-29 15:15:00
60754560	Villa Mazzon	NULL	NULL	NULL	NULL	NULL	NULL	363	Lido di Jesolo	77	Adria	NULL	IT	Italy	ROM	C	NULL	NULL	Viale Venezia III	30017	Lido Di Jesolo	NULL	45.502656730	12.639999170	2026-01-29 15:15:00
60754571	Bebenhauser Hof	NULL	NULL	NULL	NULL	NULL	NULL	13734	Bonnigheim	616	Baden-Wuerttemberg	NULL	DE	Germany	DUS	C	NULL	19	Ringstraße	74357	Bönnigheim	+497143961950	49.042484605	9.094631000	2026-01-29 15:15:00
60754742	Hotel Wachau	NULL	NULL	NULL	NULL	NULL	NULL	29649	Melk	700	Lower Austria	NULL	AT	Austria	VIE	C	NULL	3	Am Wachberg	3390	Melk	+43275252531	48.223879000	15.351745000	2026-01-29 15:15:00
60755964	Buda Castle Apartments	NULL	NULL	NULL	NULL	NULL	NULL	940	Budapest	1271	Budapest & surrounding area	NULL	HU	Hungary	BUD	L	NULL	41	Úri utca	1014	Budapest	+36307182358	47.502140000	19.030890000	2026-01-29 15:15:00
60755997	Pourvoirie Coin Lavigne	NULL	NULL	NULL	NULL	NULL	NULL	73247	Saint-Come	524	Quebec	QC	CA	Canada	YQB	L	NULL	5045	chemin du Parc	J0K 2B0	Saint-Côme	+14508831072	46.382979850	-73.895472800	2026-01-29 15:15:00
60756091	Ritsas Hotel	NULL	NULL	NULL	NULL	NULL	NULL	6407	Tolo	56	Peloponnese	NULL	GR	Greece	ATH	C	NULL	7	Nafpliou	21056	Tolo	+302752059418	37.527962970	22.865508590	2026-01-29 15:15:00
60756157	Privilege Appart-Hotel Saint-Exupery	NULL	NULL	NULL	NULL	NULL	NULL	16456	Toulouse	1105	Midi-Pyr+®n+®es	NULL	FR	France	TLS	C	NULL	10	Rue Lafon	31000	Toulouse	+33534417272	43.610083000	1.451687000	2026-01-29 15:15:00
60756171	Miners Log Cabin	NULL	NULL	NULL	NULL	NULL	NULL	301	Cardiff	801	Wales	NULL	GB	United Kingdom	CWL	C	NULL	NULL	The woodlands Chapel Road	NP13 3BS	Cardiff	NULL	51.765190910	-3.163841520	2026-01-29 15:15:00
60756215	Hotel Grand Kutilang Syariah	NULL	NULL	NULL	NULL	NULL	NULL	21552	Bandar Lampung	912	Sumatra	NULL	ID	Indonesia	TKG	C	NULL	17	Jalan Jendral Suprapto	35116	Bandar Lampung	NULL	-5.419222380	105.254678190	2026-01-28 17:29:00
60756240	Palazzo Cacace	NULL	NULL	NULL	NULL	NULL	NULL	7883	Meta	1036	Gulf of Naples	NULL	IT	Italy	NAP	C	NULL	113	Via Cristoforo Colombo	80062	Meta	NULL	40.639093300	14.416161980	2026-01-29 15:15:00
60756411	Ramada Encore by Wyndham Gebze	1058	Ramada by Wyndham	RA	Ramada by Wyndham	WR	WYNDHAM HOTELS & RESORTS	55743	Gebze	148	Marmara Coast	NULL	TR	Tuerkiye	IST	C	NULL	125	Hukumet Caddesi	41400	Gebze	+902626426464	40.797383149	29.439264934	2026-01-29 15:15:00
60756502	Patagonia Encantada	NULL	NULL	NULL	NULL	NULL	NULL	9804	Puerto Natales	1547	Patagonien	NULL	CL	Chile	PNT	C	NULL	189	Calle Dos	6160000	Puerto Natales	NULL	-51.707780220	-72.464578540	2026-01-29 15:15:00
60756560	Inti Huasi	NULL	NULL	NULL	NULL	NULL	NULL	38000	Villa Carlos Paz	1173	Central Argentina (Cordoba, Entre Rios, Santa Fe)	NULL	AR	Argentina	COR	C	NULL	103	Estrada	5152	Villa Carlos Paz	NULL	-31.426208740	-64.494486730	2026-01-29 15:15:00
60756731	Cabanas Los Almendros	NULL	NULL	NULL	NULL	NULL	NULL	59487	Capurgana	447	Columbia	NULL	CO	Colombia	CPB	C	NULL	NULL	Cabañas Los Almendros	278010	Capurganá	+573163591150	8.636256420	-77.350021290	2026-01-28 17:29:00
60756786	Hotel Paraiso	NULL	NULL	NULL	NULL	NULL	NULL	92059	Alvorada	1120	North and Amazon area	NULL	BR	Brazil	GIG	C	NULL	366	Avenida Bernardo Sayao	73950-000	Alvorada Do Norte	NULL	-14.478100000	-46.492500000	2026-01-29 15:15:00
60758077	InCentro Apartments	NULL	NULL	NULL	NULL	NULL	NULL	27522	Milazzo	84	Sicily	NULL	IT	Italy	REG	C	NULL	177	Via Umberto I	98057	Milazzo	NULL	38.224233330	15.240528470	2026-01-29 10:31:00
60758124	Hotel Surya	NULL	NULL	NULL	NULL	NULL	NULL	67863	Chhindwara	985	Madhya Pradesh	NULL	IN	India	DPP	L	NULL	NULL	Parasia Road	480001	Chhindwara	NULL	22.057500000	78.935500000	2026-01-28 17:29:00
60758226	Electra Apartments	NULL	NULL	NULL	NULL	NULL	NULL	231	Stalis	46	Crete	NULL	GR	Greece	HER	C	NULL	NULL	NULL	70007	Stalida	+302897061580	35.292396000	25.433078000	2026-01-29 15:15:00
60758262	Ferienwohnung Schnaiter	NULL	NULL	NULL	NULL	NULL	NULL	11401	Bernau on Chiemsee /Chiem Lake)	1244	Chiemsee	NULL	DE	Germany	MUC	C	NULL	NULL	NULL	NULL	Bernau on Chiemsee /Chiem Lake)	NULL	47.810600000	12.367600000	2026-01-29 15:15:00
60758284	Chiusa Della Vasca	NULL	NULL	NULL	NULL	NULL	NULL	53614	Castelnuovo di Farfa	283	Latium	NULL	IT	Italy	FCO	C	NULL	NULL	Via Mirtense	02031	Castelnuovo Di Farfa	+390765542015	42.239173580	12.727534080	2026-01-29 15:15:00
60758480	Eurostars Araguaney	1182	Eurostars	NULL	NULL	NULL	NULL	1031	Santiago de Compostela	729	Galicia	NULL	ES	Spain	SCQ	C	NULL	5	Alfredo Brañas	15701	Santiago de Compostela	+34981559616	42.875342970	-8.547459841	2026-01-28 17:29:00
